
running 1 test
bvh_build entries=46908 payload_ms=4.503 keys_ms=0.917 partition_ms=2.785 assembly_ms=1.854 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.062
bvh_build entries=46908 payload_ms=5.245 keys_ms=0.816 partition_ms=2.615 assembly_ms=1.997 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.676
progress frame=50 total_ms=65.469 physics_ms=10.724 groups=1 bodies=3017 grouped=2
bvh_build entries=46908 payload_ms=4.208 keys_ms=0.787 partition_ms=2.762 assembly_ms=2.481 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.241
bvh_build entries=46908 payload_ms=4.747 keys_ms=0.609 partition_ms=2.738 assembly_ms=3.966 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.064
bvh_build entries=46908 payload_ms=4.256 keys_ms=0.564 partition_ms=2.689 assembly_ms=2.289 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.803
bvh_build entries=46908 payload_ms=4.313 keys_ms=0.582 partition_ms=2.572 assembly_ms=3.423 cleanup_ms=0.006 node_bytes=12008320 total_ms=10.897
bvh_build entries=46908 payload_ms=4.333 keys_ms=0.582 partition_ms=3.377 assembly_ms=3.566 cleanup_ms=0.006 node_bytes=12008320 total_ms=11.865
bvh_build entries=46908 payload_ms=4.197 keys_ms=0.566 partition_ms=4.116 assembly_ms=3.163 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.046
bvh_build entries=46908 payload_ms=4.187 keys_ms=0.621 partition_ms=3.268 assembly_ms=2.516 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.597
bvh_build entries=46908 payload_ms=4.303 keys_ms=0.724 partition_ms=4.480 assembly_ms=2.449 cleanup_ms=0.006 node_bytes=12008320 total_ms=11.963
bvh_build entries=46908 payload_ms=6.793 keys_ms=0.588 partition_ms=2.814 assembly_ms=4.394 cleanup_ms=0.004 node_bytes=12008320 total_ms=14.593
bvh_build entries=46908 payload_ms=4.990 keys_ms=0.648 partition_ms=3.729 assembly_ms=2.508 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.880
bvh_build entries=46908 payload_ms=6.457 keys_ms=0.725 partition_ms=4.373 assembly_ms=2.075 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.635
bvh_build entries=46908 payload_ms=4.450 keys_ms=0.577 partition_ms=3.276 assembly_ms=4.164 cleanup_ms=0.005 node_bytes=12008320 total_ms=12.473
bvh_build entries=46908 payload_ms=4.651 keys_ms=0.671 partition_ms=2.646 assembly_ms=2.972 cleanup_ms=0.006 node_bytes=12008320 total_ms=10.945
bvh_build entries=46908 payload_ms=4.242 keys_ms=0.652 partition_ms=2.728 assembly_ms=2.017 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.643
bvh_build entries=46908 payload_ms=4.243 keys_ms=0.826 partition_ms=2.840 assembly_ms=2.793 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.705
bvh_build entries=46908 payload_ms=4.245 keys_ms=0.564 partition_ms=2.977 assembly_ms=2.064 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.853
bvh_build entries=46908 payload_ms=4.156 keys_ms=0.562 partition_ms=2.736 assembly_ms=3.448 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.906
bvh_build entries=46908 payload_ms=4.206 keys_ms=0.637 partition_ms=3.158 assembly_ms=1.945 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.951
bvh_build entries=46908 payload_ms=4.313 keys_ms=0.549 partition_ms=2.815 assembly_ms=1.831 cleanup_ms=0.005 node_bytes=12008320 total_ms=9.514
bvh_build entries=46908 payload_ms=5.166 keys_ms=0.660 partition_ms=3.137 assembly_ms=4.127 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.094
bvh_build entries=46908 payload_ms=6.769 keys_ms=0.569 partition_ms=2.547 assembly_ms=6.194 cleanup_ms=0.005 node_bytes=12008320 total_ms=16.083
bvh_build entries=46908 payload_ms=5.499 keys_ms=0.610 partition_ms=2.696 assembly_ms=3.239 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.047
bvh_build entries=46908 payload_ms=4.357 keys_ms=0.683 partition_ms=2.698 assembly_ms=1.831 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.573
bvh_build entries=46908 payload_ms=5.687 keys_ms=0.555 partition_ms=4.524 assembly_ms=2.437 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.206
bvh_build entries=46908 payload_ms=8.454 keys_ms=0.695 partition_ms=2.769 assembly_ms=4.379 cleanup_ms=0.006 node_bytes=12008320 total_ms=16.303
bvh_build entries=46908 payload_ms=4.311 keys_ms=0.629 partition_ms=4.350 assembly_ms=2.179 cleanup_ms=0.006 node_bytes=12008320 total_ms=11.477
bvh_build entries=46908 payload_ms=4.221 keys_ms=0.565 partition_ms=4.372 assembly_ms=1.812 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.972
bvh_build entries=46908 payload_ms=6.880 keys_ms=0.942 partition_ms=3.507 assembly_ms=3.256 cleanup_ms=0.004 node_bytes=12008320 total_ms=14.589
bvh_build entries=46908 payload_ms=4.929 keys_ms=1.154 partition_ms=3.262 assembly_ms=5.332 cleanup_ms=0.005 node_bytes=12008320 total_ms=14.682
bvh_build entries=46908 payload_ms=7.585 keys_ms=1.499 partition_ms=3.269 assembly_ms=3.599 cleanup_ms=0.005 node_bytes=12008320 total_ms=15.957
bvh_build entries=46908 payload_ms=4.482 keys_ms=0.652 partition_ms=2.597 assembly_ms=2.046 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.781
bvh_build entries=46908 payload_ms=5.259 keys_ms=0.605 partition_ms=2.653 assembly_ms=1.888 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.408
bvh_build entries=46908 payload_ms=5.467 keys_ms=0.617 partition_ms=2.638 assembly_ms=1.832 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.557
bvh_build entries=46908 payload_ms=5.076 keys_ms=0.753 partition_ms=2.851 assembly_ms=2.349 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.034
bvh_build entries=46908 payload_ms=4.619 keys_ms=0.836 partition_ms=2.716 assembly_ms=2.317 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.493
bvh_build entries=46908 payload_ms=5.834 keys_ms=0.733 partition_ms=2.712 assembly_ms=2.310 cleanup_ms=0.004 node_bytes=12008320 total_ms=11.593
bvh_build entries=46908 payload_ms=6.839 keys_ms=0.716 partition_ms=2.638 assembly_ms=5.633 cleanup_ms=0.005 node_bytes=12008320 total_ms=15.830
bvh_build entries=46908 payload_ms=5.171 keys_ms=0.580 partition_ms=2.648 assembly_ms=2.032 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.435
bvh_build entries=46908 payload_ms=7.951 keys_ms=0.907 partition_ms=2.737 assembly_ms=3.708 cleanup_ms=0.005 node_bytes=12008320 total_ms=15.308
bvh_build entries=46908 payload_ms=4.417 keys_ms=0.640 partition_ms=2.672 assembly_ms=1.857 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.589
bvh_build entries=46908 payload_ms=4.264 keys_ms=1.026 partition_ms=2.558 assembly_ms=1.962 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.814
