scenario,format,codec,repeat,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes
battle1024,snapshot,zstd1-w23,0,83078,205380.6,55734.5,294.7,255.2,76.8,931.4,549.8,668.9,1008.1,0
battle1024,snapshot,zstd3-w20,0,82769,205380.6,51836.8,276.2,501.9,76.3,935.4,778.1,849.6,1011.7,0
battle1024,snapshot,zstd3-w23,0,82769,205380.6,51317.6,303.2,444.3,72.1,935.9,747.5,795.0,1007.9,0
battle1024,compact,zstd1-w23,0,87723,126517.6,51133.0,226.2,188.8,57.6,651.8,415.0,449.7,709.4,0
battle1024,compact,zstd3-w23,0,84530,126517.6,48127.4,225.6,385.3,62.0,651.9,610.9,663.9,713.9,0
battle1024,snapshot,zstd1-independent,0,83078,205380.6,82572.5,247.1,435.0,106.3,928.1,682.1,744.4,1034.3,0
battle1024,delta,raw,0,205244,45491.7,45491.7,117.4,15.9,1.2,134.7,133.3,176.5,135.9,0
battle1024,delta,lz4-linked,0,107047,45491.7,45252.6,110.7,37.3,20.7,133.5,148.0,154.6,154.2,0
battle1024,delta,zstd1-w23,0,83085,45491.7,41727.4,113.6,52.8,32.5,134.1,166.4,183.1,166.5,0
battle1024,snapshot,zstd3-w20,1,82769,205380.6,51836.8,291.0,494.5,76.0,940.3,785.5,849.8,1016.3,0
battle1024,snapshot,zstd3-w23,1,82769,205380.6,51317.6,301.6,453.0,72.8,934.2,754.6,804.1,1007.0,0
battle1024,compact,zstd1-w23,1,87723,126517.6,51133.0,223.2,186.0,57.0,648.0,409.2,450.3,705.0,0
battle1024,compact,zstd3-w23,1,84530,126517.6,48127.4,203.2,381.6,62.5,651.5,584.8,638.2,714.0,0
battle1024,snapshot,zstd1-independent,1,83078,205380.6,82572.5,249.5,387.7,107.0,931.8,637.2,709.8,1038.8,0
battle1024,delta,raw,1,205244,45491.7,45491.7,111.7,13.6,1.3,134.3,125.3,139.1,135.6,0
battle1024,delta,lz4-linked,1,107047,45491.7,45252.6,114.0,36.0,20.6,132.9,150.0,162.8,153.5,0
battle1024,delta,zstd1-w23,1,83085,45491.7,41727.4,112.7,51.4,32.7,134.9,164.1,186.1,167.6,0
battle1024,snapshot,raw,1,205228,205380.6,205380.6,274.1,43.3,5.8,934.1,317.4,405.5,939.9,0
battle1024,snapshot,lz4-linked,1,107048,205380.6,107145.6,269.9,341.1,93.5,936.1,610.9,675.0,1029.6,0
battle1024,snapshot,zstd1-w20,1,83078,205380.6,55734.5,304.6,262.7,78.2,932.9,567.3,671.1,1011.1,0
battle1024,snapshot,zstd1-w23,1,83078,205380.6,55734.5,300.2,262.9,76.5,934.9,563.1,673.4,1011.3,0
