scenario,codec,trials,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes,main_mbps,total_mbps,server_us,cores_per_1000_clients,encoder_gib_per_1000_clients
battle8192,zstd3-w18,3,1130899.9,640387.5,0.0,295.015,4851.407,0.0,4991.857,2876953.0,51.231,51.231,5146.4220000000005,51.464220000000005,2.6793712750077248
battle8192,zstd3-w20,3,1130899.9,641990.4,0.0,295.015,4931.512,0.0,5035.737,3663385.0,51.359232,51.359232,5226.527,52.26527,3.4117931500077248
battle8192,zstd3-w22,6,1130899.9,395187.3,0.0,323.75199999999995,3439.6295,0.0,3643.6589999999997,6809113.0,31.614984,31.614984,3763.3815,37.633815,6.341480650007725
battle8192,zstd3-w23,3,1130899.9,395194.4,0.0,295.015,3156.192,0.0,3248.05,11003417.0,31.615552,31.615552,3451.207,34.51207,10.247730650007725
battle8192,zstd3-w24,3,1130899.9,395187.0,0.0,295.015,3174.967,0.0,3290.591,19392025.0,31.61496,31.61496,3469.982,34.69982,18.060230650007725
battle8192,zstd3-w23-ldm,3,1130899.9,402032.8,0.0,295.015,4265.077,0.0,4477.053,11556377.0,32.162624,32.162624,4560.092000000001,45.60092,10.7627147808671
battle8192,zstd3-w24-ldm,3,1130899.9,402815.0,0.0,295.015,4442.338,0.0,4582.283,20473369.0,32.2252,32.2252,4737.353,47.37353,19.067310728132725
battle1024-assets,lz4-linked,3,141716.5,88315.1,26216.0,44.771,174.686,6.124,184.091,0.0,7.065208,9.162488,225.581,2.25581,
battle1024-assets,zstd-1-w16,3,141716.5,80691.5,26215.6,44.771,162.914,3.543,169.242,1025337.0,6.45532,8.552568,211.228,2.11228,0.9549194946885109
battle1024-assets,zstd-1-w18,3,141716.5,55606.2,26215.0,44.771,140.919,3.832,248.152,1599001.0,4.448496,6.545696,189.522,1.89522,1.4891857281327248
battle1024-assets,zstd-1-w20,3,141716.5,53818.5,26215.0,44.771,143.481,4.062,209.952,2385433.0,4.30548,6.40268,192.31400000000002,1.9231400000000003,2.2216076031327248
battle1024-assets,zstd-1-w22,3,141716.5,53818.5,26215.0,44.771,146.246,4.111,211.192,5531161.0,4.30548,6.40268,195.128,1.95128,5.151295103132725
battle1024-assets,zstd-1-w23,3,141716.5,53818.5,26215.0,44.771,148.599,4.421,213.532,9725465.0,4.30548,6.40268,197.791,1.97791,9.057545103132725
battle1024-assets,zstd-1-w24,3,141716.5,53818.5,26215.0,44.771,149.292,4.611,213.832,18114073.0,4.30548,6.40268,198.67399999999998,1.9867399999999997,16.870045103132725
battle1024-assets,zstd1-w16,3,141716.5,79503.3,26215.6,44.771,222.371,4.715,233.362,1058105.0,6.360264,8.457512,271.85699999999997,2.7185699999999997,0.9854370728135109
battle1024-assets,zstd1-w18,3,141716.5,52378.4,26215.0,44.771,182.026,4.405,337.164,1631769.0,4.190272,6.287472,231.20200000000003,2.3120200000000004,1.5197033062577248
battle1024-assets,zstd1-w20,3,141716.5,49447.3,26215.0,44.771,176.684,4.515,190.702,2418201.0,3.955784,6.052984,225.96999999999997,2.2596999999999996,2.2521251812577248
battle1024-assets,zstd1-w22,3,141716.5,49447.3,26215.0,44.771,178.645,4.549,191.492,5563929.0,3.955784,6.052984,227.965,2.27965,5.181812681257725
battle1024-assets,zstd1-w23,3,141716.5,49447.3,26215.0,44.771,179.288,4.853,191.072,9758233.0,3.955784,6.052984,228.91200000000003,2.2891200000000005,9.088062681257725
battle1024-assets,zstd1-w24,3,141716.5,49447.3,26215.0,44.771,181.383,5.231,192.792,18146841.0,3.955784,6.052984,231.385,2.31385,16.900562681257725
battle1024-assets,zstd3-w16,3,141716.5,79758.7,26215.6,44.771,413.87,5.805,444.305,1779001.0,6.380696,8.477944,464.446,4.6444600000000005,1.656823791563511
battle1024-assets,zstd3-w18,3,141716.5,53848.3,26215.6,44.771,488.213,8.228,829.358,2352665.0,4.307864,6.405112,541.212,5.41212,2.1910900250077248
battle1024-assets,zstd3-w20,3,141716.5,49345.0,26215.6,44.771,429.262,7.844,462.625,3139097.0,3.9476,6.044848,481.877,4.81877,2.9235119000077248
battle1024-assets,zstd3-w22,3,141716.5,49346.7,26215.6,44.771,420.839,7.796,462.164,6284825.0,3.947736,6.0449839999999995,473.406,4.73406,5.853199400007725
