scenario,codec,repeat,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes
battle1024,zstd1-w24,2,141716.5,49435.8,0.0,44.451,180.940,0.000,189.132,17753625
battle1024,zstd3-w16,2,141716.5,79758.7,0.0,44.451,412.460,0.000,442.304,1385785
battle8192,lz4-linked,0,1130899.9,704632.4,0.0,295.015,1395.616,0.000,1430.624,0
battle8192,zstd-1-w16,0,1130899.9,642294.3,0.0,295.015,1270.211,0.000,1308.442,1549625
battle8192,zstd-1-w18,0,1130899.9,643894.8,0.0,295.015,1412.618,0.000,1449.593,2123289
battle8192,zstd-1-w20,0,1130899.9,643894.4,0.0,295.015,1552.586,0.000,1600.545,2909721
battle8192,zstd-1-w22,0,1130899.9,643894.5,0.0,295.015,1641.563,0.000,1695.016,6055449
battle8192,zstd-1-w23,0,1130899.9,643894.4,0.0,295.015,1663.758,0.000,1724.846,10249753
battle8192,zstd-1-w24,0,1130899.9,643894.4,0.0,295.015,1673.391,0.000,1714.426,18638361
battle8192,zstd1-w16,0,1130899.9,633671.9,0.0,295.015,1703.431,0.000,1737.306,1582393
battle8192,zstd1-w18,0,1130899.9,636270.8,0.0,295.015,1906.914,0.000,1949.438,2156057
battle8192,zstd1-w20,0,1130899.9,636278.1,0.0,295.015,2041.444,0.000,2082.689,2942489
battle8192,zstd1-w22,0,1130899.9,636278.1,0.0,295.015,2073.267,0.000,2145.540,6088217
battle8192,zstd1-w23,0,1130899.9,636278.1,0.0,295.015,2108.797,0.000,2197.431,10282521
battle8192,zstd1-w24,0,1130899.9,636278.1,0.0,295.015,2123.586,0.000,2217.420,18671129
battle8192,zstd3-w16,0,1130899.9,635900.1,0.0,295.015,3131.339,0.000,3235.770,2303289
battle8192,zstd3-w18,0,1130899.9,640387.5,0.0,295.015,4846.454,0.000,4991.857,2876953
battle8192,zstd3-w20,0,1130899.9,641990.4,0.0,295.015,4931.512,0.000,5035.737,3663385
battle8192,zstd3-w22,0,1130899.9,395187.3,0.0,295.015,3199.496,0.000,3324.361,6809113
battle8192,zstd3-w23,0,1130899.9,395194.4,0.0,295.015,3099.274,0.000,3230.140,11003417
battle8192,zstd3-w24,0,1130899.9,395187.0,0.0,295.015,3205.716,0.000,3351.742,19392025
battle8192,zstd3-w23-ldm,0,1130899.9,402032.8,0.0,295.015,4265.077,0.000,4477.053,11556377
battle8192,zstd3-w24-ldm,0,1130899.9,402815.0,0.0,295.015,4676.365,0.000,5578.103,20473369
battle8192,zstd1-w16,1,1130899.9,633671.9,0.0,295.015,1700.138,0.000,1756.727,1582393
